hlpi_name,year,hlpi,tot_hhs,own,own_wm,own_prop,own_wm_prop,prop_hhs,age,size,income,expenditure,eqv_income,eqv_exp
All households,2008,allhh,1560859,1087580,574406,69.7,36.8,100,35.9,2.7,46704,42394,26869,25132
Beneficiary,2008,benef,185965,71256,39405,38.3,21.2,11.9,29.9,2.6,23404,25270,14258,15824
Income quintile 1 (low),2008,disq1,312376,191470,48424,61.3,15.5,20,40,2.3,16747,21145,13402,14408
Income quintile 2,2008,disq2,312333,196203,84171,62.8,26.9,20,34.7,2.8,31308,29855,18917,18266
Income quintile 3,2008,disq3,312240,217657,141318,69.7,45.3,20,31.5,3,49106,46561,26870,24672
Income quintile 4,2008,disq4,312336,229014,147658,73.3,47.3,20,35.3,2.6,61674,52776,36691,31958
Income quintile 5 (high),2008,disq5,311574,253235,152835,81.3,49.1,20,39.3,2.5,96861,72822,55637,42932
Expenditure quintile 1 (low),2008,expq1,312761,194358,49448,62.1,15.8,20,38.7,2.5,23680,16413,15190,11015
Expenditure quintile 2,2008,expq2,311973,206342,86390,66.1,27.7,20,36.1,2.7,34155,29085,20357,18121
Expenditure quintile 3,2008,expq3,311840,194361,108065,62.3,34.7,20,33,2.8,49771,42662,27203,25132
Expenditure quintile 4,2008,expq4,312257,231612,149007,74.2,47.7,20,35.1,2.7,60863,59015,34547,34167
Expenditure quintile 5 (high),2008,expq5,312028,260907,181496,83.6,58.2,20,36.7,2.5,77434,89053,46269,51550
Māori,2008,maori,253018,119963,77076,47.4,30.5,16.2,28.9,3.2,42885,35312,23096,19797
Superannuitant,2008,super,300243,263054,15406,87.6,5.1,19.2,70.3,1.6,22367,21538,17203,17211
All households,2011,allhh,1607228,1048164,523698,65.2,32.6,100,36.3,2.6,53103,46098,30833,27335
Beneficiary,2011,benef,197237,56665,27129,28.7,13.8,12.3,28,2.7,25902,27605,16097,16685
Income quintile 1 (low),2011,disq1,321848,166355,49952,51.7,15.5,20,36.3,2.4,19787,24224,15414,16221
Income quintile 2,2011,disq2,321751,187275,77561,58.2,24.1,20,35,2.9,37370,34200,21998,20586
Income quintile 3,2011,disq3,321372,204957,119746,63.8,37.3,20,33.4,2.9,54894,49431,30833,28130
Income quintile 4,2011,disq4,321507,226916,133454,70.6,41.5,20,36.8,2.6,69183,55569,42084,33019
Income quintile 5 (high),2011,disq5,320751,262660,142986,81.9,44.6,20,40.9,2.4,106227,71815,63106,44712
Expenditure quintile 1 (low),2011,expq1,321611,173327,35941,53.9,11.2,20,37.3,2.6,27501,18877,17612,13077
Expenditure quintile 2,2011,expq2,321894,179200,77025,55.7,23.9,20,35.1,2.7,38932,32790,22895,20168
Expenditure quintile 3,2011,expq3,321367,211728,108496,65.9,33.8,20,35.3,2.8,56117,46651,32053,27335
